# z n_z
1.734999999999999876e+00 0.000000000000000000e+00
1.745000000000000107e+00 0.000000000000000000e+00
1.754999999999999893e+00 0.000000000000000000e+00
1.765000000000000124e+00 0.000000000000000000e+00
1.774999999999999911e+00 0.000000000000000000e+00
1.785000000000000142e+00 0.000000000000000000e+00
1.794999999999999929e+00 0.000000000000000000e+00
1.805000000000000160e+00 0.000000000000000000e+00
1.814999999999999947e+00 0.000000000000000000e+00
1.825000000000000178e+00 0.000000000000000000e+00
1.834999999999999964e+00 0.000000000000000000e+00
1.845000000000000195e+00 0.000000000000000000e+00
1.854999999999999982e+00 0.000000000000000000e+00
1.865000000000000213e+00 0.000000000000000000e+00
1.875000000000000000e+00 0.000000000000000000e+00
1.885000000000000231e+00 0.000000000000000000e+00
1.895000000000000018e+00 0.000000000000000000e+00
1.905000000000000249e+00 0.000000000000000000e+00
1.915000000000000036e+00 0.000000000000000000e+00
1.924999999999999822e+00 0.000000000000000000e+00
1.935000000000000053e+00 0.000000000000000000e+00
1.944999999999999840e+00 0.000000000000000000e+00
1.955000000000000071e+00 0.000000000000000000e+00
1.964999999999999858e+00 0.000000000000000000e+00
1.975000000000000089e+00 0.000000000000000000e+00
1.984999999999999876e+00 0.000000000000000000e+00
1.995000000000000107e+00 0.000000000000000000e+00
2.004999999999999893e+00 0.000000000000000000e+00
2.015000000000000124e+00 0.000000000000000000e+00
2.025000000000000355e+00 0.000000000000000000e+00
2.035000000000000142e+00 0.000000000000000000e+00
2.044999999999999929e+00 0.000000000000000000e+00
2.054999999999999716e+00 0.000000000000000000e+00
2.064999999999999947e+00 0.000000000000000000e+00
2.075000000000000178e+00 0.000000000000000000e+00
2.084999999999999964e+00 0.000000000000000000e+00
2.094999999999999751e+00 0.000000000000000000e+00
2.104999999999999982e+00 0.000000000000000000e+00
2.115000000000000213e+00 0.000000000000000000e+00
2.125000000000000000e+00 0.000000000000000000e+00
2.134999999999999787e+00 0.000000000000000000e+00
2.145000000000000018e+00 0.000000000000000000e+00
